Source,Title,Link,Year,ID
Research Paper,On Observability and Monitoring of Distributed Systems – An Industry Interview Study,https://link.springer.com/chapter/10.1007/978-3-030-33702-5_3,2019,1
,On the Study of Microservices Antipatterns: a Catalog Proposal,https://dl.acm.org/doi/10.1145/3424771.3424812,2020,2
,A survey of software log instrumentation,https://dl.acm.org/doi/abs/10.1145/3448976,2021,3
,A Survey on Automated Log Analysis for Reliability Engineering,https://dl.acm.org/doi/abs/10.1145/3460345,2021,4
,Enjoy your observability: an industrial survey of microservice tracing and analysis,https://link.springer.com/article/10.1007/s10664-021-10063-9,2021,5
,A Survey on Observability of Distributed Edge & Container-Based Microservices,https://ieeexplore.ieee.org/document/9837035/,2022,6
,Visualizing Microservice Architecture in the Dynamic Perspective: A Systematic Mapping Study,https://ieeexplore.ieee.org/document/9944666,2022,7
,Characterizing and Mitigating Anti-patterns of Alerts in Industrial Cloud Systems,https://ieeexplore.ieee.org/document/9833624/,2022,8
,Logging Practices in Software Engineering: A Systematic Mapping Study,https://ieeexplore.ieee.org/document/9756253,2022,9
,Serverless: From Bad Practices to Good Solutions,https://ieeexplore.ieee.org/document/9912641,2022,10
,Catalog and detection techniques of microservice anti-patterns and bad smells: A tertiary study,https://www.sciencedirect.com/science/article/pii/S0164121223002248,2023,11
,Toward the Observability of Cloud-Native Applications: The Overview of the State-of-the-Art,https://ieeexplore.ieee.org/document/10141603,2023,12
Video,10 tips to BAD Observability by Sameer Mhaisekar,https://www.youtube.com/watch?v=ljyMJ1i-zxI,2024,13
,Bad API observability: 5 anti-patterns in 5 minutes,https://devopsdays.org/events/2024-houston/program/budhaditya-bhattacharya-ignite/,2024,14
,AWS: Your Ally Against Observability Anti-Patterns | Indika Wimalasuriya | Conf42 Observability 2024,https://www.youtube.com/watch?v=Mn4eqXiZoHI,2024,15
Technical Blog,Observability Mythbusters: Observability Anti-Patterns,https://faun.pub/observability-mythbusters-observability-anti-patterns-2b3062405b54,2022,16
,Mistakes to avoid in Observability,https://notes.drdroid.io/mistakes-to-avoid-in-observability,2022,17
,Bad Observability,https://squaredup.com/blog/bad-observability/,2023,18
,Everything You Know About Observability is Wrong,https://www.selector.ai/blog/everything-you-know-about-observability-is-wrong/,2023,19
,OpenTelemetry Collector Anti-Patterns,https://geekingoutpodcast.substack.com/p/opentelemetry-collector-anti-patterns,2024,20
,How to Resolve Bad Observability Data Quality,https://read.srepath.com/p/how-to-resolve-bad-observability,2024,21
,How to Solve 3 Data Flow Issues in Observability,https://read.srepath.com/p/how-to-solve-3-data-flow-issues-in,2024,22
,Top 10 Mistakes People Make When Building Observability Dashboards,https://logz.io/blog/top-10-mistakes-building-observability-dashboards/,2024,23
,7 API Observability Anti-Patterns to Avoid,https://devops.com/7-api-observability-anti-patterns-to-avoid/,2024,24
Official Website,Anti-patterns for continuous monitoring,https://docs.aws.amazon.com/wellarchitected/latest/devops-guidance/anti-patterns-for-continuous-monitoring.html,2025,25
,AWS Observability Best Practices,https://aws-observability.github.io/observability-best-practices/signals/logs,2025,26
